model,type,f1_macro,f1_needs_repair,recall_needs_repair,accuracy,roc_auc,latency_ms
voting_rf_xgb_soft,ML,0.6787148532742999,0.44645711241342567,0.4855156431054461,0.7704545454545455,0.8867334903991843,0.04029166666686579
random_forest,ML,0.6657959864710662,0.4250127097102186,0.4843568945538818,0.7585858585858586,0.8723538788564866,0.03258968855190461
xgboost_tuned,ML,0.6570272167646715,0.43365949119373776,0.641946697566628,0.7342592592592593,0.8773769550816316,0.017758872053665907
xgboost,ML,0.6553633725493566,0.43488555643251775,0.6384704519119351,0.7319023569023569,0.8731313612114696,0.01438858585964468
xgboost_smote_recall_boost,ML,0.653761218484842,0.41711229946524064,0.4519119351100811,0.7489057239057239,0.8694516251657879,0.015903939392557995
random_forest_tuned,ML,0.6537055983082088,0.37517241379310345,0.31517960602549244,0.7720538720538721,0.8720654755041215,0.02021056397119145
random_forest_smote_recall_boost,ML,0.6511399438077695,0.3947065592635213,0.39745075318655854,0.7551346801346801,0.8634494433560761,0.021726767676478714
xgboost_threshold_recall_boost,ML,0.6391954064967149,0.40774647887323945,0.6709154113557358,0.7143097643097643,0.870861949535939,0.008557062289463544
random_forest_smote_threshold_recall_boost,ML,0.631661510478059,0.38456237077877325,0.6465816917728853,0.7116161616161616,0.8634494982578431,0.01812182659944143
xgboost_smote_threshold,ML,0.6295279439926459,0.3936063936063936,0.6848203939745076,0.7047979797979798,0.870084971037819,0.009809932660218172
xgboost_smote_threshold_recall_boost,ML,0.6288677769579619,0.39267015706806285,0.6952491309385863,0.7032828282828283,0.8694516251657879,0.008875151516721498
knn,ML,0.6231511832683047,0.3482587064676617,0.28389339513325607,0.7436026936026936,0.8237601196663021,0.37029784511877084
mlp_l2_0.001,DL,0.541,0.3113,0.6025,0.6099,,
mlp_baseline,DL,0.5297,0.2992,0.5666,0.6038,,
residual_mlp,DL,0.5276,0.2743,0.3024,0.6341,,
mlp_l2_0.0,DL,0.5272,0.2973,0.5747,0.5984,,
logistic_regression,ML,0.4772904530438576,0.24741735537190082,0.5550405561993047,0.5367003367003367,0.7242779981005055,0.002779537035381227
cnn1d,DL,0.4113,0.1726,0.226,0.5067,,
mlp_tuned,DL,0.3817,0.2065,0.9305,0.3803,,
